,s,radiusMin,radiusMax,radiusMean,radiusSd,plHydrophobicityMin,plHydrophobicityMax,plHydrophobicityMean,plHydrophobicitySd,pfHydrophobicityMin,pfHydrophobicityMax,pfHydrophobicityMean,pfHydrophobicitySd,densityMin,densityMax,densityMean,densitySd,energyMin,energyMax,energyMean,energySd
0,-16.14988136291504,5.0,5.0,5.0,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
1,-16.123708724975586,5.0117998123168945,5.0117998123168945,5.0117998123168945,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
2,-16.0975341796875,5.018860816955566,5.018860816955566,5.018860816955566,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
3,-16.071361541748047,5.02073860168457,5.02073860168457,5.02073860168457,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
4,-16.045188903808594,5.016988277435303,5.016988277435303,5.016988277435303,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
5,-16.01901626586914,5.007165431976318,5.007165431976318,5.007165431976318,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
6,-15.992842674255371,4.9908576011657715,4.9908576011657715,4.9908576011657715,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
7,-15.966669082641602,4.968788146972656,4.968788146972656,4.968788146972656,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
8,-15.940496444702148,4.943106174468994,4.943106174468994,4.943106174468994,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
9,-15.914322853088379,4.916044235229492,4.916044235229492,4.916044235229492,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
